,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015/12/27,133,64236.62,1037,54455,48,8697,8604,93,0,conventional,2015,Albany
1,2015/12/20,135,54876.98,674,44639,58,9506,9408,97,0,conventional,2015,Albany
2,2015/12/13,93,118220.22,795,109150,131,8145,8042,103,0,conventional,2015,Albany
3,2015/12/6,108,78992.15,1132,71976,73,5811,5677,134,0,conventional,2015,Albany
4,2015/11/29,128,51039.6,941,43838,76,6184,5986,198,0,conventional,2015,Albany
5,2015/11/22,126,55979.78,1184,48068,44,6684,6556,127,0,conventional,2015,Albany
6,2015/11/15,99,83453.76,1369,73673,93,8319,8197,122,0,conventional,2015,Albany
7,2015/11/8,98,109428.33,704,101815,80,6829,6267,562,0,conventional,2015,Albany
8,2015/11/1,102,99811.42,1022,87316,85,11388,11105,284,0,conventional,2015,Albany
9,2015/10/25,107,74338.76,842,64757,113,8626,8061,564,0,conventional,2015,Albany
10,2015/10/18,112,84843.44,925,75596,117,8206,7878,328,0,conventional,2015,Albany
11,2015/10/11,128,64489.17,1582,52678,105,10124,9866,258,0,conventional,2015,Albany
12,2015/10/4,131,61007.1,2268,49881,101,8757,8380,377,0,conventional,2015,Albany
13,2015/9/27,99,106803.39,1205,99409,155,6034,5889,146,0,conventional,2015,Albany
14,2015/9/20,133,69759.01,1028,59313,151,9267,8489,778,0,conventional,2015,Albany
15,2015/9/13,128,76111.27,986,65697,142,9287,8665,621,0,conventional,2015,Albany
16,2015/9/6,111,99172.96,879,90063,241,7990,7763,227,0,conventional,2015,Albany
17,2015/8/30,107,105693.84,689,94363,335,10307,10219,88,0,conventional,2015,Albany
18,2015/8/23,134,79992.09,733,67934,445,10880,10746,135,0,conventional,2015,Albany
19,2015/8/16,133,80043.78,540,68666,395,10443,10298,146,0,conventional,2015,Albany
20,2015/8/9,112,111140.93,585,100961,369,9226,9116,110,0,conventional,2015,Albany
21,2015/8/2,145,75133.1,510,62035,741,11847,11769,79,0,conventional,2015,Albany
22,2015/7/26,111,106757.1,649,91949,967,13193,13062,131,0,conventional,2015,Albany
23,2015/7/19,126,96617,1042,82049,2238,11287,11103,184,0,conventional,2015,Albany
24,2015/7/12,105,124055.31,672,94694,4258,24432,24290,108,33.33,conventional,2015,Albany
25,2015/7/5,135,109252.12,869,72601,5883,29899,29663,236,0,conventional,2015,Albany
26,2015/6/28,137,89534.81,664,57546,4663,26662,26312,350,0,conventional,2015,Albany
